"","points_5","points_4","points_3","points_2","points_1"
"9038","Yellow-eyed penguin","Banded Dotterel","Chatham Island Mollymawk","Saddleback","Black Stilt"
"9039","Yellow-eyed penguin","Chatham Island Mollymawk","Buller's Mollymawk","Hutton's Shearwater","Westland Petrel"
"9040","Yellow-eyed penguin","Morepork","Orange-fronted Parakeet","Australasian Gannet","New Zealand Falcon"
"9041","Yellow-eyed penguin","Bittern","Saddleback","South Island Kōkako","Weka"
"9042","Kākāpō","Yellow-eyed penguin","Tūī","Takahē",NA
"9043","Kea","Blue Duck","Kākāpō","Great Spotted Kiwi",NA
"9044","Blue Duck","Kākāpō","Antipodean Albatross","Black Robin","Kākā"
"9045","Yellow-eyed penguin","Stitchbird","Tūī","Black Robin","Kererū"
"9046","Kōkako","South Island Kōkako","Blue Duck","Royal Spoonbill","Kākāpō"
"9047","Blue Duck","Yellow-eyed penguin","Rock Wren","Morepork","Rifleman"
"9048","Black Robin","Banded Dotterel","Kākāpō","Little Penguin","Rockhopper Penguin"
"9049","Kākāpō",NA,NA,NA,NA
"9050","Yellow-eyed penguin","New Zealand Dotterel","Banded Dotterel","Orange-fronted Parakeet","Rockhopper Penguin"
"9051","Yellow-eyed penguin","Blue Duck","Fairy Tern","Banded Dotterel","Bellbird"
"9052","Rifleman","Banded Dotterel","Mōhua","North Island Brown Kiwi","Stitchbird"
"9053","Black Robin","Kākāpō","Takahē","Little Spotted Kiwi","Shore Plover"
"9054","Yellow-eyed penguin","Saddleback","Kākā","Fiordland Crested Penguin","Orange-fronted Parakeet"
"9055","Yellow-eyed penguin",NA,NA,NA,NA
"9056","Yellow-eyed penguin","Tūī","Antipodean Albatross","Southern Brown Kiwi","Banded Dotterel"
"9057","Blue Duck","Rockhopper Penguin","New Zealand Falcon","Great Spotted Kiwi","Fiordland Crested Penguin"
"9058","Kākāpō","Saddleback","Morepork","Wrybill","Black Robin"
"9059","Antipodean Albatross","Black Stilt","Blue Duck","Chatham Island Mollymawk","Yellow-eyed penguin"
"9060","Kākā","Rockhopper Penguin","Saddleback","Southern Brown Kiwi","Rock Wren"
"9061","Tūī","Little Penguin","Kingfisher","Tomtit","Black Robin"
"9062","Banded Dotterel","Australasian Gannet","Yellow-eyed penguin","Black Stilt","Shore Plover"
"9063","Yellow-eyed penguin","Kōkako","Blue Duck","New Zealand Dotterel","Kererū"
"9064","Black Robin","Blue Duck","Kākāpō","Tūī","Yellow-eyed penguin"
"9065","Yellow-eyed penguin","Fairy Tern","Antipodean Albatross","Gibson's Albatross","New Zealand Dotterel"
"9066","Kōkako","Kea","Fiordland Crested Penguin","Bellbird","Fantail"
"9067","Blue Duck","Black Robin","Chatham Island Mollymawk","Fairy Tern","Rifleman"
"9068","Yellow-eyed penguin","Takahē","Kākāpō","Kākā","Tūī"
"9069","Mōhua","Kōkako","Black-billed Gull","Rockhopper Penguin","Little Penguin"
"9070","New Zealand Falcon","Rifleman","Tomtit","Whitehead","Yellow-eyed penguin"
"9071","Yellow-eyed penguin",NA,NA,NA,NA
"9072","Yellow-eyed penguin","Blue Duck","Black Robin","Banded Dotterel","Chatham Island Mollymawk"
"9073","Black Robin","Kingfisher","Kākāpō","New Zealand Robin","Rifleman"
"9074","New Zealand Falcon","Black Robin","Bittern","Antipodean Albatross","Blue Duck"
"9075","Fairy Tern","Shore Plover","Blue Duck","Black Stilt","Black Robin"
"9076","New Zealand Dabchick","Stitchbird","Kingfisher","Kākā","Shore Plover"
"9077","Kererū","Gibson's Albatross","Fiordland Crested Penguin","Fantail","Fairy Tern"
"9078","New Zealand Dotterel","Banded Dotterel","Black Stilt","Kākāpō","Yellow-eyed penguin"
"9079","Banded Dotterel","Barn Owl","Harrier","Kingfisher","Tūī"
"9080","Southern Brown Kiwi","Tūī","Kererū","Yellow-eyed penguin","Welcome Swallow"
"9081","Kea","Scaup","Kākā","Kākāpō","Black Robin"
"9082","Antipodean Albatross","Gibson's Albatross","Kākā","Kākāpō","Barn Owl"
"9083","New Zealand Dotterel","Saddleback","Whenua Hou Diving Petrel","Little Spotted Kiwi","Stitchbird"
"9084","Yellow-eyed penguin","Banded Dotterel","South Island Kōkako","Stitchbird","Saddleback"
