"","points_5","points_4","points_3","points_2","points_1"
"4302","Kākāpō","Little Spotted Kiwi","Black Robin","Banded Dotterel","Yellow-eyed penguin"
"4303","Yellow-eyed penguin","Mōhua","Kererū","Tūī","Kākā"
"4304","Black Robin","Chatham Island Mollymawk","Grey Warbler","Kākāpō","Stitchbird"
"4305","Tūī","Orange-fronted Parakeet","Yellow-eyed penguin","Morepork","New Zealand Falcon"
"4306","Takahē","Black Robin","Black Stilt","Blue Duck","Morepork"
"4307","Kākāpō","Barn Owl","Black Robin","Banded Dotterel","Bittern"
"4308","Kākā","Banded Dotterel","Blue Duck","Kōkako","Fantail"
"4309","Yellow-eyed penguin",NA,NA,NA,NA
"4310","Yellow-eyed penguin","Little Spotted Kiwi","Kākāpō","Black Robin",NA
"4311","Tūī","Takahē","Kererū","Kākāpō","Black Robin"
"4312","Little Penguin","Tomtit","New Zealand Robin","New Zealand Dotterel","Black-billed Gull"
"4313","New Zealand Dotterel","Banded Dotterel","Yellow-eyed penguin","Blue Duck","Stitchbird"
"4314","Banded Dotterel","Kākā","Kākāpō","New Zealand Dotterel","Fiordland Crested Penguin"
"4315","Banded Dotterel","Shining Cuckoo","Fernbird","Mōhua","Grey Warbler"
"4316","Mōhua","Orange-fronted Parakeet","The Otago Shag","Hutton's Shearwater","Kākā"
"4317","Rockhopper Penguin","Scaup","Shining Cuckoo","Welcome Swallow","Kingfisher"
"4318","Antipodean Albatross","Kākāpō","Takahē","Yellow-eyed penguin","Tūī"
"4319","Banded Dotterel","Orange-fronted Parakeet","Black Robin","Black Stilt","Yellow-eyed penguin"
"4320","Mōhua","Kākā","Fernbird","New Zealand Dotterel","Southern Brown Kiwi"
"4321","New Zealand Dotterel","Little Penguin","Banded Dotterel","Saddleback","Stitchbird"
"4322","Banded Dotterel","Stitchbird","Tomtit","Welcome Swallow","Fernbird"
"4323","Kererū","Yellow-eyed penguin","Kākā","Tūī","Kea"
"4324","Fantail","Little Penguin","Pūkeko","Kākāpō","Gibson's Albatross"
"4325","Takahē","Little Spotted Kiwi","Kākāpō","Kākā","Kea"
"4326","Yellow-eyed penguin","Black Robin","Banded Dotterel","Stitchbird","Bittern"
"4327","Yellow-eyed penguin","Orange-fronted Parakeet","New Zealand Dotterel","Little Spotted Kiwi","Kākā"
"4328","Tūī","Black Robin","Australasian Crested Grebe","Kākāpō","Pūkeko"
"4329","Black Robin","Kākā","Kākāpō","Blue Duck","Bittern"
"4330","New Zealand Dotterel","Kererū","Pūkeko","Kingfisher","Rifleman"
"4331","Black Robin","Banded Dotterel","Antipodean Albatross","Tūī","Fantail"
"4332","Blue Duck","Kākā","Kākāpō","New Zealand Falcon","Little Penguin"
"4333","Yellow-eyed penguin","Chatham Island Mollymawk","Chatham Island Oystercatcher","Gibson's Albatross","Little Spotted Kiwi"
"4334","Yellow-eyed penguin","Southern Brown Kiwi","The Otago Shag","South Island Kōkako","Shore Plover"
"4335","Banded Dotterel","Rifleman","Mōhua","Rock Wren","Tomtit"
"4336","Banded Dotterel","Fantail","Black Robin","Blue Duck","Chatham Island Oystercatcher"
"4337","Black Stilt","Kākāpō","New Zealand Dotterel","Tūī","Banded Dotterel"
"4338","Yellow-eyed penguin","Blue Duck","Rifleman","Kākā","New Zealand Falcon"
"4339","Takahē","Kākāpō","New Zealand Falcon","Orange-fronted Parakeet","Kākā"
"4340","Kākā","Kingfisher","Tomtit","New Zealand Falcon","Blue Duck"
"4341","Tūī","Kererū","Fantail","New Zealand Falcon","Pūkeko"
"4342","Yellow-eyed penguin","Black Robin","Rock Wren","Black Stilt","Kākāpō"
"4343","Rifleman","Morepork","Blue Duck","Brown Teal","Bittern"
"4344","Little Penguin","Little Spotted Kiwi","Tūī","Kākāpō","Bittern"
"4345","Kererū","New Zealand Falcon","Harrier","Morepork","Kākāpō"
"4346","Australasian Crested Grebe","Bellbird","Fantail","Fernbird","Grey Warbler"
"4347","Yellow-eyed penguin","Morepork","Bellbird","Saddleback","Kingfisher"
"4348","Saddleback","New Zealand Falcon","Antipodean Albatross","Black Petrel","South Island Kōkako"
"4349","Morepork","Rifleman","Black Robin","Tūī","Banded Dotterel"
"4350","South Island Kōkako","Shore Plover","Kākā","Black Stilt","Black Robin"
"4351","Yellow-eyed penguin","Shore Plover","Little Spotted Kiwi","Kākāpō","Chatham Island Oystercatcher"
"4352","Orange-fronted Parakeet","Tūī","Kākā","Antipodean Albatross","Black Petrel"
"4353","Banded Dotterel","Bar-tailed Godwit","Black Robin","New Zealand Dotterel","Saddleback"
"4354","Mōhua","Stitchbird","Banded Dotterel","Australasian Crested Grebe","Black Robin"
"4355","Yellow-eyed penguin","Orange-fronted Parakeet","Kākāpō","Little Spotted Kiwi","Mōhua"
"4356","Little Spotted Kiwi","Takahē","Tūī","Fantail","Kākāpō"
"4357","Banded Dotterel","Chatham Island Mollymawk","Black Robin","Bittern","Black Stilt"
"4358","Morepork","New Zealand Dotterel","Hutton's Shearwater","Blue Duck","Black Robin"
"4359","Kea","Fantail","New Zealand Falcon","Yellow-eyed penguin","South Island Kōkako"
"4360","Kākāpō","Morepork","Kea","Tūī","Fantail"
"4361","Orange-fronted Parakeet","Black Robin","Rock Wren","Blue Duck","Bittern"
"4362","Kākāpō","Little Spotted Kiwi","Takahē","Great Spotted Kiwi","Southern Brown Kiwi"
"4363","Kākāpō","Bittern","Barn Owl","Southern Brown Kiwi","Wrybill"
"4364","Australasian Gannet","Rockhopper Penguin","New Zealand Robin","Black Stilt","Kākā"
"4365","Saddleback","Fantail","Blue Duck","Takahē","Fernbird"
"4366","Kōkako","Kākā","Saddleback","Morepork","Weka"
"4367","Kākāpō","Kākā","Little Spotted Kiwi","South Island Kōkako","Bittern"
"4368","Fairy Tern",NA,NA,NA,NA
"4369","Kākāpō",NA,NA,NA,NA
"4370","Kingfisher","Black Robin","Banded Dotterel","Morepork","Fantail"
"4371","Takahē","Royal Spoonbill","Kākāpō","Kōkako","New Zealand Dabchick"
"4372","Kea","Tūī","Yellow-eyed penguin","New Zealand Dotterel","Kākāpō"
"4373","Banded Dotterel","Antipodean Albatross","Australasian Crested Grebe","Bellbird","Black Robin"
"4374","Barn Owl","Kākāpō","Chatham Island Mollymawk","Kākā","Little Penguin"
"4375","Kākā","New Zealand Dotterel","Banded Dotterel","New Zealand Falcon","Buller's Mollymawk"
"4376","Kākāpō","Kea","Takahē","Little Spotted Kiwi","South Island Kōkako"
"4377","Orange-fronted Parakeet","Kōkako","Yellow-eyed penguin","Kākāpō","Fantail"
"4378","Kākāpō","Kākā","Black Stilt","Blue Duck","Black Robin"
"4379","Kākāpō","Yellow-eyed penguin","Stitchbird","Whenua Hou Diving Petrel","Little Spotted Kiwi"
"4380","Yellow-eyed penguin","Morepork","Tūī","Bellbird","Australasian Gannet"
"4381","Kākāpō","New Zealand King Shag",NA,NA,NA
"4382","Kākāpō","Rifleman","Black-fronted Tern","Fantail","Harrier"
"4383","Kākāpō","Kākā","Kea","Mōhua","New Zealand Falcon"
"4384","Little Spotted Kiwi","Kererū","Great Spotted Kiwi","Black Robin","Rifleman"
"4385","Yellow-eyed penguin","Morepork","Fantail","Harrier","Bellbird"
"4386","Kākāpō",NA,NA,NA,NA
"4387","Yellow-eyed penguin",NA,NA,NA,NA
"4388","Banded Dotterel","Yellow-eyed penguin","Bar-tailed Godwit","Chatham Island Oystercatcher","Kererū"
"4389","Kākāpō",NA,NA,NA,NA
"4390","Kākāpō","Little Spotted Kiwi","North Island Brown Kiwi","Great Spotted Kiwi","Kea"
"4391","Harrier","Black Petrel","Black Robin","Banded Dotterel","Bittern"
"4392","Kākāpō","Banded Dotterel","Bar-tailed Godwit","Bittern","Black Robin"
"4393","Bittern","Rifleman","Stitchbird","Southern Brown Kiwi","Rock Wren"
"4394","Yellow-eyed penguin","Bittern","New Zealand Dotterel","Banded Dotterel","Spotless Crake"
"4395","Kākāpō","Kea",NA,NA,NA
"4396","Antipodean Albatross","Banded Dotterel","Bittern","Kōkako","Yellow-eyed penguin"
"4397","Fiordland Crested Penguin","Little Spotted Kiwi","Kākā","Gibson's Albatross","Great Spotted Kiwi"
"4398","Kākāpō","Little Penguin","Orange-fronted Parakeet","Kererū","Antipodean Albatross"
"4399","Kākāpō",NA,NA,NA,NA
"4400","Kākāpō","Shore Plover","Kākā","Little Spotted Kiwi","Rock Wren"
"4401","Kea","Kākā","Kākāpō","Little Spotted Kiwi","Orange-fronted Parakeet"
"4402","Yellow-eyed penguin","Antipodean Albatross","Gibson's Albatross","Fairy Tern","Chatham Island Oystercatcher"
"4403","Kākāpō","South Island Kōkako",NA,NA,NA
"4404","Fantail","Barn Owl","Kingfisher","Tūī","Rockhopper Penguin"
"4405","Kākāpō","Kākā","Kea","Orange-fronted Parakeet","Yellow-eyed penguin"
"4406","Banded Dotterel","Bittern","Black Robin","Black-billed Gull","Fairy Tern"
"4407","Kākāpō","Gibson's Albatross","Little Spotted Kiwi","Northern Royal Albatross","The Otago Shag"
"4408","Black Stilt","Fairy Tern","Chatham Island Oystercatcher","Hutton's Shearwater","Kākā"
"4409","Kākāpō","Kōkako","Black Robin","Morepork","White Heron"
"4410","Kākāpō","Gibson's Albatross","Orange-fronted Parakeet","Takahē","Little Spotted Kiwi"
"4411","Blue Duck","Kererū","Morepork","Antipodean Albatross","Banded Dotterel"
"4412","Black Robin","Great Spotted Kiwi","Kea","Kākāpō","Orange-fronted Parakeet"
"4413","Kākāpō","Saddleback","Morepork","Kākā","Orange-fronted Parakeet"
"4414","Rockhopper Penguin","Fairy Tern","Black-billed Gull","Blue Duck","Saddleback"
"4415","Fantail","Blue Duck","Kingfisher","Kākāpō","Yellow-eyed penguin"
"4416","Banded Dotterel","Black Robin","Kākāpō",NA,NA
"4417","Fantail",NA,NA,NA,NA
"4418","Chatham Island Oystercatcher","Kākā","Takahē","Australasian Crested Grebe","Fantail"
"4419","Kākāpō","Little Spotted Kiwi","Australasian Crested Grebe","North Island Brown Kiwi","Stitchbird"
"4420","Bittern","Blue Duck","Takahē","Rifleman","Banded Dotterel"
"4421","Grey Warbler","Fantail","New Zealand Robin","Variable Oystercatcher","Fiordland Crested Penguin"
"4422","Kea","Orange-fronted Parakeet","Whitehead","Fantail","Blue Duck"
"4423","Kākāpō","Mōhua","Southern Brown Kiwi","Orange-fronted Parakeet","Kākā"
"4424","Yellow-eyed penguin",NA,NA,NA,NA
"4425","Blue Duck","Fiordland Crested Penguin","Great Spotted Kiwi","Kea","Kākāpō"
"4426","Yellow-eyed penguin","Chatham Island Mollymawk","Kākāpō","Stitchbird","Antipodean Albatross"
"4427","Antipodean Albatross","Kākā","South Island Kōkako","Kākāpō","Orange-fronted Parakeet"
"4428","New Zealand Falcon","Southern Brown Kiwi","Tūī","Kākāpō","Fantail"
"4429","Kākāpō","South Island Kōkako","Southern Brown Kiwi","Great Spotted Kiwi","Stitchbird"
"4430","Fantail","Takahē","Black Robin","Royal Spoonbill","Orange-fronted Parakeet"
"4431","Stitchbird","Pūkeko","Kōkako","Kākā","New Zealand Falcon"
"4432","Kea","Kererū","Morepork","Tūī","Rockhopper Penguin"
"4433","Blue Duck","New Zealand Dabchick","Little Penguin","Rockhopper Penguin","Orange-fronted Parakeet"
"4434","Kākāpō","Kererū","Kea","Little Penguin","Tūī"
"4435","South Island Pied Oystercatcher","Royal Spoonbill","Kākāpō","Rifleman","New Zealand Falcon"
"4436","Southern Brown Kiwi","Great Spotted Kiwi","Kea","Kākāpō","Kākā"
"4437","Kererū","Yellow-eyed penguin","Kākāpō","New Zealand Dabchick","Fiordland Crested Penguin"
"4438","Kingfisher","Banded Dotterel","Bellbird","Morepork","Welcome Swallow"
"4439","Yellow-eyed penguin","Orange-fronted Parakeet","Tūī","Mōhua","Kererū"
"4440","Kākāpō","Black Robin","Orange-fronted Parakeet","Whenua Hou Diving Petrel","Kea"
"4441","Chatham Island Mollymawk","Fiordland Crested Penguin","Australasian Crested Grebe","Banded Dotterel","Black Robin"
"4442","Tūī","Kererū","Harrier","Fantail","Stitchbird"
"4443","Antipodean Albatross","Yellow-eyed penguin","Silvereye","Chatham Island Mollymawk","New Zealand Dotterel"
"4444","Kākā","Morepork","Black Robin","New Zealand Falcon","Weka"
"4445","Kākāpō","Little Penguin","Kingfisher","Orange-fronted Parakeet","Grey Duck"
"4446","Yellow-eyed penguin","Tūī","Antipodean Albatross","Banded Dotterel","Black Stilt"
"4447","Kākā","Black Robin","Bittern","Little Spotted Kiwi","Chatham Island Mollymawk"
"4448","Antipodean Albatross","Black Robin","Blue Duck","Harrier","Southern Brown Kiwi"
"4449","Kākā","Saddleback","Grey Warbler","Kōkako","New Zealand Falcon"
"4450","Antipodean Albatross","Barn Owl","Black Robin","Blue Duck","Kōkako"
"4451","Yellow-eyed penguin","Black Robin","Fiordland Crested Penguin","Little Spotted Kiwi",NA
"4452","Kea","Blue Duck","Kākā","Tomtit","Fantail"
"4453","Kākāpō","Kākā","Little Spotted Kiwi","Mōhua","Orange-fronted Parakeet"
"4454","Chatham Island Oystercatcher","Antipodean Albatross","Banded Dotterel","Whenua Hou Diving Petrel","Black-billed Gull"
"4455","Kākāpō","Orange-fronted Parakeet","Great Spotted Kiwi","Chatham Island Mollymawk","South Island Kōkako"
"4456","Yellow-eyed penguin","Black Robin","Blue Duck","Little Spotted Kiwi","Kākā"
"4457","Morepork","New Zealand Falcon","Fantail","Kākāpō","Kākā"
"4458","Kākāpō","Antipodean Albatross","Banded Dotterel","Bittern","Black Robin"
"4459","Morepork","Rockhopper Penguin","Kākā","Blue Duck","Gibson's Albatross"
"4460","Kākāpō","Little Penguin","Yellow-eyed penguin","Rockhopper Penguin","Kea"
"4461","Bittern","Black Stilt","Blue Duck","Kākā","Yellow-eyed penguin"
"4462","Yellow-eyed penguin","Rockhopper Penguin","Fiordland Crested Penguin","The Otago Shag","Antipodean Albatross"
"4463","Kākāpō","Buller's Mollymawk","Little shag","Campbell Black-Browed Albatross","Kākā"
"4464","Orange-fronted Parakeet","Kākāpō","Kererū","Rockhopper Penguin","Stitchbird"
"4465","Fiordland Crested Penguin","Orange-fronted Parakeet","Kākā","Kākāpō","Little Penguin"
"4466","Blue Duck","Kea","Kākā","Tūī","New Zealand Falcon"
"4467","Kākāpō","Orange-fronted Parakeet","North Island Brown Kiwi","Great Spotted Kiwi","Southern Brown Kiwi"
"4468","Takahē","Kākāpō","Black Robin","Bellbird","Antipodean Albatross"
"4469","Yellow-eyed penguin","Little Spotted Kiwi","Black Robin","Mōhua","Orange-fronted Parakeet"
"4470","Stitchbird","Black-billed Gull","Blue Duck","Hutton's Shearwater","Antipodean Albatross"
"4471","Fantail","Kākā","Little Penguin","Little Spotted Kiwi","Kākāpō"
"4472","Fairy Tern","Morepork","Rockhopper Penguin","Orange-fronted Parakeet","Rifleman"
"4473","Fantail","Great Spotted Kiwi","New Zealand Robin","Takahē","Tūī"
"4474","Blue Duck","Rifleman","Light-mantled Sooty Albatross","Kea","Kākā"
"4475","Kākāpō","Shore Plover","Wrybill","Chatham Island Oystercatcher","Black Robin"
"4476","Black Robin","Fiordland Crested Penguin","Kea","Kākāpō","Kōkako"
"4477","New Zealand Falcon","Kea","Kākā","Morepork","Tūī"
"4478","Australasian Gannet","Bellbird","Blue Duck","Kingfisher","Tomtit"
"4479","Antipodean Albatross","Saddleback","Kea","Kererū","Kākā"
"4480","Fairy Tern","Great Spotted Kiwi","Kea","Kākāpō","Orange-fronted Parakeet"
"4481","Antipodean Albatross","Southern Brown Kiwi","Black Robin","Fairy Tern","Yellow-eyed penguin"
"4482","Kea","Kākāpō","Little Spotted Kiwi","North Island Brown Kiwi",NA
"4483","Kākāpō","Yellow-eyed penguin","Antipodean Albatross","Kererū","Little Spotted Kiwi"
"4484","Black Robin","Whenua Hou Diving Petrel","Chatham Island Oystercatcher","Yellow-eyed penguin","Morepork"
"4485","Kea","Kākāpō","New Zealand Falcon","Tūī","Kingfisher"
"4486","Black Robin","Kākāpō","New Zealand Falcon","Black Stilt","Fairy Tern"
"4487","Rifleman","Rock Wren","Shining Cuckoo","Stitchbird","Banded Dotterel"
"4488","Yellow-eyed penguin","Fiordland Crested Penguin","Kākā","Little Penguin","Rockhopper Penguin"
"4489","Fiordland Crested Penguin","Rockhopper Penguin","Stitchbird","Yellow-eyed penguin","Little Penguin"
"4490","Yellow-eyed penguin","Morepork","Little Penguin","New Zealand Dabchick","Arctic Skua"
"4491","Bittern","Fiordland Crested Penguin","Little Penguin","Yellow-eyed penguin","Kākā"
"4492","Kākāpō","Kea","Tomtit","Rock Wren","Banded Dotterel"
"4493","Bittern","Black Stilt","Black-billed Gull","Brown Teal","Kea"
"4494","Black-billed Gull","Black Robin","Fairy Tern","Kākā","Kākāpō"
"4495","New Zealand Falcon","Tūī","Kākāpō","Morepork","Barn Owl"
"4496","Tūī","Kākā","New Zealand Falcon","Kea","Morepork"
"4497","Stitchbird",NA,NA,NA,NA
"4498","New Zealand Falcon","Morepork","Kākāpō","Little Spotted Kiwi","Kingfisher"
"4499","Banded Dotterel","South Island Kōkako","Yellow-eyed penguin","Blue Duck","Bellbird"
"4500","Fantail","Little Spotted Kiwi","Great Spotted Kiwi","Buller's Mollymawk","Chatham Island Mollymawk"
"4501","North Island Brown Kiwi","New Zealand Robin","New Zealand Dotterel","Little Penguin","Bittern"
"4502","Fantail","Black Robin","Antipodean Albatross","Kererū","Yellow-eyed penguin"
"4503","Black Robin","Chatham Island Mollymawk","Great Spotted Kiwi","Kākā","Little Spotted Kiwi"
"4504","Bittern","Little Spotted Kiwi","New Zealand Dotterel","Kākāpō","Orange-fronted Parakeet"
"4505","Black Robin","Black Stilt","Kākā","Rifleman","South Island Kōkako"
"4506","Kākāpō",NA,NA,NA,NA
"4507","Antipodean Albatross","Campbell Black-Browed Albatross","Spotted Shag","Gibson's Albatross","Yellow-eyed penguin"
"4508","Royal Spoonbill","Rifleman","Mōhua","Welcome Swallow","Silvereye"
"4509","Grey Warbler","Fantail","Bittern","Black shag","Silvereye"
"4510","Rifleman","Blue Duck","South Island Kōkako","Takahē","Kākāpō"
"4511","Kākāpō","Yellow-eyed penguin","Black Stilt","Gibson's Albatross","Tomtit"
"4512","New Zealand Falcon","Harrier","Barn Owl","Kākāpō","Shining Cuckoo"
"4513","Kākāpō","Black Robin","Antipodean Albatross","Banded Dotterel","Bittern"
"4514","Buller's Mollymawk","Kākāpō","Rockhopper Penguin","Stitchbird","Fairy Tern"
"4515","Orange-fronted Parakeet","Yellow-eyed penguin","Antipodean Albatross","Banded Dotterel","The Otago Shag"
"4516","Rockhopper Penguin","Stitchbird","Chatham Island Oystercatcher","Orange-fronted Parakeet","Tomtit"
"4517","Kākāpō","Black Robin","Orange-fronted Parakeet","Southern Brown Kiwi","Fiordland Crested Penguin"
"4518","Takahē","Orange-fronted Parakeet","Kea","Kākā","Kākāpō"
"4519","Gibson's Albatross",NA,NA,NA,NA
"4520","Rockhopper Penguin","Fiordland Crested Penguin","Yellow-eyed penguin","Little Penguin",NA
"4521","Grey Duck","Grey Warbler","Harrier","Hutton's Shearwater","Kea"
"4522","Mōhua","South Island Kōkako","Southern Brown Kiwi","Little Spotted Kiwi","Banded Dotterel"
"4523","Yellow-eyed penguin","Fiordland Crested Penguin","Southern Royal Albatross","Royal Spoonbill","Little Penguin"
